,n_estimators,Mean Squared Error
0,1,8.820574162679426
1,2,7.296351674641149
2,3,6.349016480595427
3,4,5.76248504784689
4,5,5.523205741626795
5,6,5.581273258904838
6,7,5.559540083976174
7,8,5.490823116028708
8,9,5.404365290330203
9,10,5.327954545454546
10,11,5.257018861955792
11,12,5.162139486975014
12,13,5.120197616149033
13,14,5.105421833805292
14,15,5.0738171185539604
15,16,5.016928640849282
16,17,4.984648432972964
17,18,4.926656920077972
18,19,4.883818871025461
19,20,4.869530502392345
20,21,4.845075350714448
21,22,4.835869844596465
22,23,4.825738732464432
23,24,4.791257559144073
24,25,4.80603062200957
25,26,4.806926120438266
26,27,4.8078215553849075
27,28,4.8086124401913874
28,29,4.789214821726243
29,30,4.795790802764487
30,31,4.758996808547715
31,32,4.729461815938995
32,33,4.729617839991916
33,34,4.727277901028129
34,35,4.724411678547018
35,36,4.699554019729458
36,37,4.686438604646286
37,38,4.697402384392106
38,39,4.699955802182523
39,40,4.717077601674641
40,41,4.725330103691981
41,42,4.72440706745218
42,43,4.711389319456269
43,44,4.710782726679584
44,45,4.702588457676177
45,46,4.700644892864573
46,47,4.687344725037418
47,48,4.685500149521531
48,49,4.6837850656325415
49,50,4.690576076555024
50,51,4.704800693145256
51,52,4.720427472325246
52,53,4.72739536793049
53,54,4.728219491864715
54,55,4.7231543358772585
55,56,4.714816286861634
56,57,4.728798408343532
57,58,4.73333572757426
58,59,4.7317533046792635
59,60,4.72427398989899
60,61,4.719771013862868
61,62,4.712085633983739
62,63,4.712411439855048
63,64,4.708898224899073
64,65,4.714987118145013
65,66,4.7241595489475
66,67,4.738418526520436
67,68,4.720812258902998
68,69,4.731029577437895
69,70,4.732192656967093
70,71,4.735119626716428
71,72,4.736143415145608
72,73,4.735602835796908
73,74,4.735531470951101
74,75,4.735456034024455
75,76,4.738874107012684
76,77,4.734449155517322
77,78,4.729941111520059
78,79,4.733750763779268
79,80,4.726336722488039
80,81,4.726200711905714
81,82,4.716452385086344
82,83,4.71755506490133
83,84,4.71526387668305
84,85,4.724076588135958
85,86,4.727991789173509
86,87,4.7341340054275785
87,88,4.733722079016569
88,89,4.7359595865632445
89,90,4.733530037214247
90,91,4.737342761345075
91,92,4.735607210046943
92,93,4.733104775782359
93,94,4.729752930053435
94,95,4.732987050855545
95,96,4.733893857364767
96,97,4.734439208921928
97,98,4.730316465029523
98,99,4.729072172598343
99,100,4.723150956937799
100,101,4.722398803194546
101,102,4.721622871402055
102,103,4.72033201926143
103,104,4.723410050855015
104,105,4.722425110395036
105,106,4.7215496030360375
106,107,4.720604398704302
107,108,4.726305349630154
108,109,4.722845651595225
109,110,4.721309956898256
110,111,4.713885131737194
111,112,4.715726289394347
112,113,4.717712436032092
113,114,4.715878164941439
114,115,4.716946843823772
115,116,4.71497818159061
116,117,4.714844647030882
117,118,4.711957787936976
118,119,4.71586977036804
119,120,4.713100328947369
120,121,4.713907885994924
121,122,4.713995327823847
122,123,4.715035938140919
123,124,4.721789052347784
124,125,4.716982430622009
125,126,4.717690314651469
126,127,4.722151561528003
127,128,4.720094306617263
128,129,4.725147348926917
129,130,4.727683531043854
130,131,4.726189682904571
131,132,4.723888515428316
132,133,4.722062896385476
133,134,4.719958463058555
134,135,4.717879378581133
135,136,4.715614574882866
136,137,4.713047015069387
137,138,4.711573060723643
138,139,4.710437845723559
139,140,4.708695256810858
140,141,4.711268470846513
141,142,4.711862132427966
142,143,4.7112035169300865
143,144,4.707482987310976
144,145,4.708158321433245
145,146,4.7106524649363735
146,147,4.714886983338724
147,148,4.712900366016475
148,149,4.715661111864223
149,150,4.713443700159489
150,151,4.71021674110239
151,152,4.7090385040722875
152,153,4.710858202617445
153,154,4.708748953929312
154,155,4.710363606490448
155,156,4.710957185527024
156,157,4.710755660186725
157,158,4.707095969392097
158,159,4.706772669453714
159,160,4.707157969497608
160,161,4.708272734840809
161,162,4.70705338709454
162,163,4.705804971833743
163,164,4.706752564903552
164,165,4.707107174397301
165,166,4.706947609426581
166,167,4.707040393041383
167,168,4.7065987055707454
168,169,4.707328467953004
169,170,4.707796725219781
170,171,4.704537027628343
171,172,4.703385227305073
172,173,4.698187424752137
173,174,4.695100371636763
174,175,4.694168225759204
175,176,4.6978679975112705
176,177,4.700390751892136
177,178,4.695880680874352
178,179,4.695065637343542
179,180,4.694716204442082
180,181,4.696879670351417
181,182,4.7014408018239715
182,183,4.702092888888317
183,184,4.700150857049502
184,185,4.696867164591205
185,186,4.691461897024906
186,187,4.692785346036496
187,188,4.692430521561424
188,189,4.693657109209879
189,190,4.6940345133799
190,191,4.696348259676106
191,192,4.698658725671601
192,193,4.6986367509175615
193,194,4.699122092967082
194,195,4.697237620678916
195,196,4.6943052535925025
196,197,4.695219139101187
197,198,4.692194680115152
198,199,4.6942989876651176
199,200,4.696537290669857
200,201,4.697268051657729
201,202,4.69959144168716
202,203,4.696213147799158
203,204,4.697583448075731
204,205,4.6991225603351845
205,206,4.7004900371220435
206,207,4.700706950109994
207,208,4.70298767133044
208,209,4.701026767684678
209,210,4.698887017326868
210,211,4.70092649681259
211,212,4.7010398160560465
212,213,4.700714560592509
213,214,4.700960333344338
214,215,4.7001417810222
215,216,4.699849268349512
216,217,4.700206627966324
217,218,4.698879166164947
218,219,4.697320585136508
219,220,4.695938624500771
220,221,4.696440647314805
221,222,4.698206474611169
222,223,4.697902415782537
223,224,4.69755482233638
224,225,4.698909634355248
225,226,4.69826496475278
226,227,4.696837898035027
227,228,4.697528067156475
228,229,4.69879686617971
229,230,4.700483918379898
230,231,4.700910938933682
231,232,4.698498077554916
232,233,4.698158649601755
233,234,4.6991476715667
234,235,4.696037632044637
235,236,4.692344888485545
236,237,4.692344067429453
237,238,4.692346900764246
238,239,4.691872197933891
239,240,4.693810265483785
240,241,4.693732783180461
241,242,4.692106480490489
242,243,4.6911482200209855
243,244,4.690144011616468
244,245,4.6892975016390706
245,246,4.689695314869475
246,247,4.690346592521725
247,248,4.68989119702488
248,249,4.690484155642188
249,250,4.6909902966507175
250,251,4.690425947518567
251,252,4.687709288703963
252,253,4.688468786648648
253,254,4.6889862416088475
254,255,4.690484852163963
255,256,4.689200825668408
256,257,4.68876280485106
257,258,4.688558933388998
258,259,4.693500997758262
259,260,4.6932428654341605
260,261,4.693137805238062
261,262,4.6907441841953315
262,263,4.693486987456906
263,264,4.692030783860792
264,265,4.690252469420745
265,266,4.68900564606285
266,267,4.689039663406603
267,268,4.688819396776384
268,269,4.690139712839313
269,270,4.687735296434126
270,271,4.68811884864907
271,272,4.688481299719789
272,273,4.685656705610436
273,274,4.68694496435
274,275,4.689294254418917
275,276,4.691774286994912
276,277,4.692064770804299
277,278,4.692838122190967
278,279,4.693355379254571
279,280,4.691706376330437
280,281,4.690171194076853
281,282,4.692002838540031
282,283,4.69464140103465
283,284,4.693678433733338
284,285,4.693710099979235
285,286,4.694425605678826
286,287,4.694174949452868
287,288,4.69519094164876
288,289,4.693709856312675
289,290,4.69385106304297
290,291,4.695388008099521
291,292,4.695681569026029
292,293,4.694370487270936
293,294,4.694349745398924
294,295,4.694767425078588
295,296,4.694130731076188
296,297,4.69236720900085
297,298,4.693224355814827
298,299,4.691910845864146
299,300,4.693736044657097
300,301,4.693845191353497
301,302,4.691353866478198
302,303,4.692800793888664
303,304,4.6908656711611485
304,305,4.692500266816169
305,306,4.691029293215446
306,307,4.691218900904918
307,308,4.689956336888427
308,309,4.690335570658136
309,310,4.690162024705127
310,311,4.689186808661761
311,312,4.6904735713566685
312,313,4.690513796938305
313,314,4.6910287299716735
314,315,4.689295641701657
315,316,4.6908350416944895
316,317,4.692113733698673
317,318,4.690082231696592
318,319,4.689962899276751
319,320,4.690633118551885
320,321,4.688375891066542
321,322,4.689817459712424
322,323,4.688033922958385
323,324,4.687352187677074
324,325,4.686898808074517
325,326,4.685992583903139
326,327,4.6845573669350244
327,328,4.684564583695056
328,329,4.684979179236269
329,330,4.684945584597607
330,331,4.682498736038725
331,332,4.6836440960417445
332,333,4.682915134195362
333,334,4.681975182374557
334,335,4.68173145200229
335,336,4.6827136793214095
336,337,4.683575728955282
337,338,4.685339740811616
338,339,4.687164948219682
339,340,4.687645723994636
340,341,4.687217266834519
341,342,4.6864239010931925
342,343,4.6881181029891
343,344,4.686657657637259
344,345,4.685004014877659
345,346,4.684088966694862
346,347,4.683890703301081
347,348,4.684212432621478
348,349,4.6862725708877475
349,350,4.686522732155063
350,351,4.685672631129222
351,352,4.684154928788826
352,353,4.684122691760688
353,354,4.684285408783246
354,355,4.686743877240124
355,356,4.687526587687988
356,357,4.686105345600103
357,358,4.684758932148687
358,359,4.684655931815592
359,360,4.682582458355485
360,361,4.681481903223946
361,362,4.6821136010564555
362,363,4.681350239532201
363,364,4.680238491626938
364,365,4.679001473386121
365,366,4.679738881980958
366,367,4.680566156995873
367,368,4.680099196512559
368,369,4.680697894263858
369,370,4.6803085145794965
370,371,4.680008788899519
371,372,4.680848219447335
372,373,4.678707019725351
373,374,4.680159800799642
374,375,4.680658560340245
375,376,4.680759948089157
376,377,4.678524051925199
377,378,4.678706529966624
378,379,4.677515122846301
379,380,4.6767045454545455
380,381,4.676184888786577
381,382,4.674910738748584
382,383,4.6760047809379355
383,384,4.675353922785628
384,385,4.6742079681332775
385,386,4.672936019219423
386,387,4.6719532449988925
387,388,4.673579957040012
388,389,4.673342110053507
389,390,4.672445342556679
390,391,4.673481687245316
391,392,4.673751546591931
392,393,4.672469382671371
393,394,4.672502746551292
394,395,4.671349081433245
395,396,4.669610956295837
396,397,4.670933484143624
397,398,4.669829606545386
398,399,4.670805839952737
